MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-09-01,Angers,Nice,1,4,A,0,2,A,12,12,7,9,14,13,4,7,6,4,0,1,4.0,3.3,2.0,4.0,3.3,1.98,4.2,3.35,2.01,4.33,3.3,1.9,4.51,3.35,1.96,2024-25
2024-09-01,Le Havre,Auxerre,3,1,H,1,1,D,21,7,8,2,10,15,2,2,1,5,0,1,2.75,3.3,2.6,2.65,3.3,2.6,2.81,3.28,2.69,2.8,3.3,2.55,2.96,3.27,2.6,2024-25
2024-09-01,Reims,Rennes,2,1,H,1,1,D,11,13,7,5,9,12,3,5,2,1,0,0,2.9,3.5,2.38,2.85,3.5,2.37,2.94,3.29,2.37,3.2,3.5,2.2,3.36,3.51,2.24,2024-25
2024-09-01,Lille,Paris SG,1,3,A,0,2,A,10,10,4,7,7,5,3,1,3,2,0,0,3.9,3.8,1.85,3.8,3.6,1.93,4.31,3.74,1.86,4.2,3.9,1.75,4.53,3.94,1.8,2024-25
2024-09-13,St Etienne,Lille,1,0,H,1,0,H,10,17,5,4,12,10,2,7,1,1,0,0,5.5,3.6,1.7,4.75,3.6,1.75,5.22,3.78,1.72,5.25,3.6,1.7,5.4,3.67,1.73,2024-25
2024-09-14,Marseille,Nice,2,0,H,1,0,H,10,12,5,4,18,4,1,2,5,2,1,0,1.7,3.9,4.5,1.77,3.8,4.33,1.75,3.97,4.6,1.85,3.5,4.33,1.88,3.63,4.47,2024-25
2024-09-14,Auxerre,Monaco,0,3,A,0,2,A,13,19,3,9,13,16,1,6,3,0,0,0,3.9,3.75,1.85,3.8,3.9,1.85,4.02,3.8,1.89,4.5,3.8,1.73,4.58,4.02,1.78,2024-25
2024-09-14,Paris SG,Brest,3,1,H,1,1,D,22,5,9,3,7,13,9,1,2,3,0,0,1.27,6.0,10.0,1.28,6.25,9.5,1.28,6.16,9.59,1.3,6.0,9.0,1.29,6.06,10.46,2024-25
2024-09-15,Rennes,Montpellier,3,0,H,2,0,H,11,12,6,4,10,7,3,4,1,3,0,0,1.62,4.0,5.25,1.61,4.2,5.0,1.63,4.26,5.16,1.42,5.0,7.0,1.44,5.16,6.92,2024-25
2024-09-15,Nantes,Reims,1,2,A,1,1,D,18,11,6,4,14,5,6,3,3,1,0,0,2.38,3.4,3.0,2.3,3.4,3.0,2.43,3.37,3.03,2.38,3.2,3.1,2.52,3.25,3.1,2024-25
2024-09-15,Strasbourg,Angers,1,1,D,1,0,H,10,12,5,2,11,14,6,9,4,1,0,0,1.7,3.8,5.25,1.72,3.75,4.8,1.69,3.82,5.31,1.6,4.1,5.5,1.64,4.07,5.74,2024-25
2024-09-15,Toulouse,Le Havre,2,0,H,0,0,D,15,5,7,3,10,11,6,5,1,1,0,0,1.8,3.6,4.5,1.77,3.75,4.4,1.85,3.71,4.37,1.9,3.4,4.33,1.93,3.51,4.38,2024-25
2024-09-15,Lens,Lyon,0,0,D,0,0,D,12,8,5,3,12,11,5,8,0,0,0,0,1.8,3.75,4.33,1.83,3.8,4.0,1.86,3.8,4.18,1.75,3.9,4.33,1.82,3.96,4.39,2024-25
2024-09-20,Nice,St Etienne,8,0,H,6,0,H,18,8,12,2,7,13,3,2,0,1,0,0,1.53,4.1,6.5,1.55,4.1,6.25,1.55,4.25,6.57,1.45,4.33,7.0,1.49,4.45,7.5,2024-25
2024-09-21,Lille,Strasbourg,3,3,D,2,2,D,15,12,7,9,16,12,9,5,2,2,0,0,1.7,4.0,4.75,1.68,3.8,4.8,1.74,3.88,4.93,1.55,4.33,5.75,1.56,4.46,6.04,2024-25
2024-09-21,Rennes,Lens,1,1,D,1,0,H,11,10,6,2,16,20,4,3,2,4,0,0,2.35,3.4,3.0,2.45,3.3,2.87,2.44,3.34,3.09,2.35,3.5,2.9,2.39,3.5,3.09,2024-25
2024-09-21,Reims,Paris SG,1,1,D,1,0,H,8,11,1,4,11,6,3,5,2,1,0,0,6.5,4.75,1.44,6.25,4.6,1.47,6.91,5.01,1.44,7.0,5.0,1.4,7.69,5.14,1.41,2024-25
2024-09-22,Monaco,Le Havre,3,1,H,1,1,D,14,9,4,2,10,17,6,4,1,3,0,0,1.36,4.75,8.5,1.38,5.0,7.5,1.38,5.23,8.11,1.42,4.75,7.0,1.43,4.86,7.84,2024-25
2024-09-22,Angers,Nantes,1,1,D,1,1,D,4,9,1,3,13,16,3,6,1,4,0,0,3.2,3.3,2.3,3.1,3.2,2.37,3.32,3.2,2.39,3.0,3.25,2.45,3.19,3.15,2.52,2024-25
2024-09-22,Brest,Toulouse,2,0,H,1,0,H,9,10,5,1,15,18,4,3,1,1,0,0,2.15,3.5,3.4,2.15,3.5,3.25,2.16,3.57,3.44,2.8,3.2,2.6,2.93,3.17,2.7,2024-25
2024-09-22,Montpellier,Auxerre,3,2,H,0,1,A,14,11,5,6,13,20,11,5,3,4,0,0,2.3,3.3,3.2,2.3,3.4,3.0,2.39,3.37,3.14,2.0,3.5,3.7,2.06,3.71,3.67,2024-25
2024-09-22,Lyon,Marseille,2,3,A,0,0,D,18,6,9,5,13,7,10,3,4,3,0,1,2.9,3.8,2.2,2.9,3.8,2.2,3.06,3.91,2.21,2.7,3.75,2.38,2.87,3.67,2.45,2024-25
2024-09-27,Auxerre,Brest,3,0,H,2,0,H,15,8,4,4,13,16,2,3,2,0,0,0,2.75,3.4,2.55,2.7,3.4,2.55,2.86,3.38,2.62,2.9,3.4,2.45,3.11,3.38,2.44,2024-25
2024-09-27,Paris SG,Rennes,3,1,H,1,0,H,22,13,7,5,9,11,6,4,1,3,0,0,1.38,5.25,7.5,1.38,5.0,7.75,1.37,5.3,8.67,1.42,5.0,6.5,1.43,4.91,7.65,2024-25
