Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2018-08-10,Marseille,Toulouse,4,0,H,1,0,H,23,5,10,1,7,20,5,1,1,3,0,0,1.4,4.5,8.0,1.4,4.5,8.75,1.47,4.62,7.79,1.48,4.53,7.7,2018-19
F1,2018-08-11,Angers,Nimes,3,4,A,1,1,D,21,14,7,5,20,12,5,1,2,2,0,1,2.3,3.2,3.3,2.3,3.1,3.4,2.3,3.38,3.4,2.36,3.15,3.51,2018-19
F1,2018-08-11,Lille,Rennes,3,1,H,1,1,D,15,8,6,2,12,13,2,6,1,0,0,0,2.5,3.1,3.1,2.55,3.1,2.95,2.56,3.35,2.97,2.81,3.31,2.72,2018-19
F1,2018-08-11,Montpellier,Dijon,1,2,A,1,0,H,16,9,7,4,15,21,4,2,2,2,0,0,1.72,3.5,5.5,1.7,3.6,5.5,1.74,3.79,5.34,1.74,3.68,5.6,2018-19
F1,2018-08-11,Nantes,Monaco,1,3,A,0,0,D,16,11,4,6,8,15,7,2,1,0,0,0,3.2,3.25,2.3,3.1,3.25,2.4,3.27,3.4,2.35,2.59,3.29,2.98,2018-19
F1,2018-08-11,Nice,Reims,0,1,A,0,1,A,19,5,1,3,13,14,10,2,1,2,0,0,1.85,3.5,4.5,1.83,3.5,4.5,1.94,3.52,4.41,1.92,3.26,5.07,2018-19
F1,2018-08-11,St Etienne,Guingamp,2,1,H,1,0,H,11,11,6,5,14,11,6,9,3,1,0,0,1.8,3.5,4.75,1.85,3.4,4.6,1.84,3.65,4.81,1.84,3.53,5.03,2018-19
F1,2018-08-12,Bordeaux,Strasbourg,0,2,A,0,0,D,5,17,2,6,6,12,3,10,1,0,1,0,1.7,3.6,5.0,1.7,3.8,5.0,1.8,3.65,5.11,1.99,3.34,4.47,2018-19
F1,2018-08-12,Lyon,Amiens,2,0,H,1,0,H,15,10,7,1,9,17,10,1,0,2,0,0,1.2,7.0,13.0,1.22,6.75,12.0,1.24,6.79,14.34,1.25,6.68,13.47,2018-19
F1,2018-08-12,Paris SG,Caen,3,0,H,2,0,H,11,5,8,1,13,7,6,3,1,0,0,0,1.08,12.0,23.0,1.11,9.75,23.0,1.12,10.47,23.99,1.12,10.47,23.99,2018-19
F1,2018-08-17,Reims,Lyon,1,0,H,1,0,H,7,19,2,5,11,10,0,4,2,0,0,0,4.75,4.0,1.7,5.0,3.8,1.7,5.06,4.2,1.69,5.26,4.08,1.69,2018-19
F1,2018-08-18,Amiens,Montpellier,1,2,A,0,0,D,11,7,2,3,15,15,6,2,1,3,0,0,3.2,3.0,2.5,3.1,2.95,2.55,3.19,3.15,2.52,3.27,3.17,2.47,2018-19
F1,2018-08-18,Caen,Nice,1,1,D,0,0,D,13,16,4,5,22,11,5,10,2,2,0,0,2.75,3.1,2.75,2.75,3.1,2.75,2.84,3.23,2.74,2.85,3.15,2.8,2018-19
F1,2018-08-18,Dijon,Nantes,2,0,H,1,0,H,14,7,7,0,18,13,3,4,0,1,0,1,2.6,3.25,2.8,2.65,3.1,2.85,2.62,3.41,2.88,2.65,3.51,2.75,2018-19
F1,2018-08-18,Guingamp,Paris SG,1,3,A,1,0,H,11,17,3,7,15,16,4,7,0,1,0,0,13.0,7.0,1.2,12.5,6.5,1.22,11.61,6.45,1.27,11.93,6.75,1.26,2018-19
F1,2018-08-18,Monaco,Lille,0,0,D,0,0,D,10,13,1,4,10,14,8,4,0,0,0,0,1.5,4.33,6.5,1.53,4.33,6.0,1.53,4.56,6.5,1.71,4.05,5.12,2018-19
F1,2018-08-18,Rennes,Angers,1,0,H,0,0,D,5,7,2,0,8,11,3,0,1,2,0,0,1.9,3.3,4.5,1.87,3.4,4.6,1.89,3.47,4.75,1.92,3.5,4.56,2018-19
F1,2018-08-19,Nimes,Marseille,3,1,H,1,0,H,14,10,7,5,11,11,6,7,3,1,0,0,4.75,3.8,1.72,4.6,3.8,1.75,4.54,4.11,1.78,5.02,4.09,1.72,2018-19
F1,2018-08-19,Strasbourg,St Etienne,1,1,D,0,0,D,11,9,5,2,11,7,7,2,1,2,0,1,2.6,3.2,2.8,2.7,3.3,2.65,2.76,3.3,2.77,2.72,3.2,2.89,2018-19
F1,2018-08-19,Toulouse,Bordeaux,2,1,H,1,0,H,13,15,5,8,10,11,1,2,1,1,0,0,2.6,3.1,2.9,2.6,3.1,2.9,2.61,3.19,3.04,2.55,3.16,3.15,2018-19
F1,2018-08-24,Lyon,Strasbourg,2,0,H,1,0,H,22,9,10,1,13,13,5,4,1,2,0,0,1.28,5.75,11.0,1.28,5.75,10.5,1.29,6.14,11.25,1.39,5.09,9.06,2018-19
F1,2018-08-25,Amiens,Reims,4,1,H,1,0,H,14,7,8,3,18,17,4,2,1,1,0,1,2.6,3.25,2.8,2.7,3.0,2.85,2.74,3.16,2.91,2.88,3.15,2.76,2018-19
F1,2018-08-25,Montpellier,St Etienne,0,0,D,0,0,D,14,9,1,2,12,14,6,3,3,0,0,0,2.4,3.1,3.2,2.4,3.1,3.2,2.48,3.17,3.26,2.35,3.19,3.48,2018-19
F1,2018-08-25,Nantes,Caen,1,1,D,0,1,A,16,3,3,2,16,16,3,1,2,3,0,1,1.95,3.25,4.33,1.95,3.2,4.5,1.98,3.31,4.58,2.19,3.03,4.17,2018-19
F1,2018-08-25,Nice,Dijon,0,4,A,0,0,D,16,9,3,5,11,19,5,3,2,3,0,0,1.9,3.4,4.33,1.87,3.6,4.2,1.88,3.65,4.56,2.09,3.25,4.2,2018-19
F1,2018-08-25,Paris SG,Angers,3,1,H,1,1,D,13,11,5,6,10,2,9,1,2,0,0,0,1.07,13.0,26.0,1.08,11.5,29.0,1.08,13.43,35.68,1.11,11.55,26.32,2018-19
F1,2018-08-25,Toulouse,Nimes,1,0,H,0,0,D,10,9,5,0,17,21,3,3,1,3,0,0,2.3,3.2,3.3,2.3,3.3,3.2,2.32,3.62,3.15,2.59,3.48,2.85,2018-19
F1,2018-08-26,Bordeaux,Monaco,2,1,H,0,0,D,14,15,6,5,10,14,5,8,1,2,0,0,3.1,3.3,2.37,2.95,3.25,2.45,2.99,3.55,2.45,2.67,3.39,2.8,2018-19
F1,2018-08-26,Lille,Guingamp,3,0,H,2,0,H,13,13,7,4,13,13,4,4,2,1,0,1,2.0,3.4,3.9,1.95,3.6,3.9,2.05,3.59,3.88,1.96,3.65,4.14,2018-19
F1,2018-08-26,Marseille,Rennes,2,2,D,0,2,A,8,7,3,2,16,15,8,4,1,1,0,0,1.5,4.33,6.5,1.5,4.33,6.5,1.5,4.85,6.44,1.5,4.6,6.99,2018-19
F1,2018-08-31,Lyon,Nice,0,1,A,0,0,D,29,8,9,1,6,14,10,5,0,2,0,0,1.33,5.25,9.5,1.34,5.25,8.75,1.36,5.48,9.39,1.44,4.86,7.81,2018-19
F1,2018-09-01,Angers,Lille,1,0,H,0,0,D,6,17,3,4,14,8,4,5,0,1,1,0,2.45,3.25,3.0,2.5,3.3,2.85,2.54,3.26,3.06,2.82,3.35,2.68,2018-19
F1,2018-09-01,Dijon,Caen,0,2,A,0,1,A,15,9,2,4,11,13,9,5,0,3,0,0,1.9,3.4,4.33,1.9,3.4,4.33,1.91,3.43,4.59,1.94,3.49,4.47,2018-19
F1,2018-09-01,Guingamp,Toulouse,1,2,A,1,2,A,23,5,5,4,12,13,11,4,3,2,0,1,2.04,3.4,3.75,2.05,3.4,3.75,2.08,3.62,3.76,2.26,3.42,3.45,2018-19
F1,2018-09-01,Nimes,Paris SG,2,4,A,0,2,A,14,7,6,5,12,11,3,4,1,3,1,1,11.0,7.0,1.22,12.5,7.5,1.19,12.43,7.4,1.23,14.03,7.09,1.23,2018-19
F1,2018-09-01,Reims,Montpellier,0,1,A,0,0,D,21,9,6,3,11,11,5,5,0,0,0,0,2.6,3.1,2.9,2.65,2.95,3.0,2.59,3.19,3.07,3.11,3.0,2.69,2018-19
F1,2018-09-01,Strasbourg,Nantes,2,3,A,1,2,A,10,14,5,5,12,12,1,3,1,2,0,0,2.3,3.1,3.4,2.25,3.1,3.5,2.4,3.11,3.48,2.08,3.5,3.85,2018-19
F1,2018-09-02,Monaco,Marseille,2,3,A,0,1,A,8,15,4,5,11,16,1,5,1,1,0,0,2.8,3.3,2.54,2.7,3.5,2.55,2.71,3.85,2.53,3.01,3.74,2.35,2018-19
F1,2018-09-02,Rennes,Bordeaux,2,0,H,2,0,H,16,8,8,1,12,14,6,5,0,3,0,0,2.1,3.3,3.75,2.1,3.25,3.7,2.13,3.36,3.86,2.19,3.16,3.96,2018-19
