MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2023-11-05,Nice,Rennes,2.0,0.0,1.24,1.24
2023-11-05,Toulouse,Le Havre,1.0,2.0,1.55,2.17
2023-11-10,Montpellier,Nice,0.0,0.0,0.31,1.24
2023-11-11,Reims,Paris SG,0.0,3.0,1.86,1.86
2023-11-11,Le Havre,Monaco,0.0,0.0,1.55,1.24
2023-11-12,Clermont,Lorient,1.0,0.0,1.86,0.93
2023-11-12,Lille,Toulouse,1.0,1.0,1.86,0.31
2023-11-12,Metz,Nantes,3.0,1.0,1.24,0.93
2023-11-12,Rennes,Lyon,0.0,1.0,0.62,1.55
2023-11-12,Lens,Marseille,1.0,0.0,0.93,0.62
2023-11-24,Paris SG,Monaco,5.0,2.0,3.41,2.17
2023-11-25,Clermont,Lens,0.0,3.0,1.24,3.1
2023-11-25,Strasbourg,Marseille,1.0,1.0,2.17,0.93
2023-11-26,Nice,Toulouse,1.0,0.0,0.93,0.93
2023-11-26,Lorient,Metz,2.0,3.0,1.55,1.55
2023-11-26,Montpellier,Brest,1.0,3.0,1.55,1.55
2023-11-26,Nantes,Le Havre,0.0,0.0,0.93,0.0
2023-11-26,Rennes,Reims,3.0,1.0,1.55,1.55
2023-11-26,Lyon,Lille,0.0,2.0,1.55,2.48
2023-11-29,Montpellier,Clermont,1.0,1.0,3.1,0.31
2023-12-01,Reims,Strasbourg,2.0,1.0,1.24,0.93
2023-12-02,Lens,Lyon,3.0,2.0,2.17,2.17
2023-12-02,Nantes,Nice,1.0,0.0,1.24,1.86
2023-12-03,Monaco,Montpellier,2.0,0.0,2.79,1.24
2023-12-03,Le Havre,Paris SG,0.0,2.0,2.17,1.55
2023-12-03,Brest,Clermont,3.0,0.0,2.17,0.31
2023-12-03,Lille,Metz,2.0,0.0,1.86,1.24
2023-12-03,Marseille,Rennes,2.0,0.0,0.62,0.0
2023-12-03,Toulouse,Lorient,1.0,1.0,1.86,1.55
2023-12-06,Marseille,Lyon,3.0,0.0,1.55,0.31
2023-12-07,Brest,Strasbourg,1.0,1.0,0.93,1.55
2023-12-08,Montpellier,Lens,0.0,0.0,1.24,1.55
2023-12-09,Rennes,Monaco,1.0,2.0,1.55,1.55
2023-12-09,Paris SG,Nantes,2.0,1.0,1.86,1.24
2023-12-10,Strasbourg,Le Havre,2.0,1.0,0.93,0.93
2023-12-10,Lyon,Toulouse,3.0,0.0,2.17,1.86
2023-12-10,Nice,Reims,2.0,1.0,1.55,0.62
2023-12-10,Clermont,Lille,0.0,0.0,1.55,0.93
2023-12-10,Metz,Brest,0.0,1.0,0.93,0.93
2023-12-10,Lorient,Marseille,2.0,4.0,2.79,2.48
2023-12-15,Monaco,Lyon,0.0,1.0,1.24,0.62
2023-12-16,Le Havre,Nice,3.0,1.0,1.55,1.86
2023-12-16,Lens,Reims,2.0,0.0,0.62,0.93
2023-12-17,Nantes,Brest,0.0,2.0,1.24,2.48
2023-12-17,Lorient,Strasbourg,1.0,2.0,0.31,2.79
2023-12-17,Metz,Montpellier,0.0,1.0,1.24,0.93
2023-12-17,Toulouse,Rennes,0.0,0.0,1.86,1.24
2023-12-17,Marseille,Clermont,2.0,1.0,1.86,0.62
2023-12-17,Lille,Paris SG,1.0,1.0,0.93,0.62
2023-12-20,Montpellier,Marseille,1.0,1.0,1.86,1.24
2023-12-20,Brest,Lorient,4.0,0.0,2.17,0.93
2023-12-20,Clermont,Rennes,1.0,3.0,1.86,3.41
2023-12-20,Paris SG,Metz,3.0,1.0,1.55,0.31
2023-12-20,Lyon,Nantes,1.0,0.0,2.17,0.0
2023-12-20,Reims,Le Havre,1.0,0.0,2.17,0.31
2023-12-20,Strasbourg,Lille,2.0,1.0,0.62,0.62
