Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2022-08-05,Lyon,Ajaccio,2,1,H,2,1,H,11,8,6,4,10,18,4,3,1,6,1,1,1.33,5.25,8.5,1.33,5.25,8.0,1.33,5.53,10.75,1.33,5.0,8.5,1.38,5.31,8.68,2022-23
F1,2022-08-06,Strasbourg,Monaco,1,2,A,0,1,A,11,24,7,11,18,15,3,7,0,2,0,0,2.62,3.25,2.75,2.6,3.3,2.7,2.64,3.4,2.86,2.3,3.2,3.2,2.42,3.35,3.26,2022-23
F1,2022-08-06,Clermont,Paris SG,0,5,A,0,3,A,7,18,1,12,13,13,0,6,2,1,0,0,9.5,6.5,1.25,10.0,6.5,1.25,9.88,6.81,1.28,13.0,7.0,1.2,13.32,6.77,1.24,2022-23
F1,2022-08-07,Toulouse,Nice,1,1,D,1,0,H,6,11,4,4,10,8,6,3,1,2,0,0,2.87,3.3,2.5,2.8,3.4,2.45,2.93,3.43,2.57,2.5,3.25,2.87,2.58,3.28,3.04,2022-23
F1,2022-08-07,Angers,Nantes,0,0,D,0,0,D,16,14,6,4,15,13,3,6,3,3,0,0,2.7,3.25,2.7,2.65,3.2,2.7,2.82,3.29,2.75,3.0,3.25,2.37,3.22,3.28,2.46,2022-23
F1,2022-08-07,Lens,Brest,3,2,H,1,0,H,17,6,7,4,16,14,6,3,2,4,0,0,1.57,4.33,5.25,1.53,4.4,5.75,1.6,4.6,5.51,1.6,4.2,5.25,1.62,4.23,5.81,2022-23
F1,2022-08-07,Lille,Auxerre,4,1,H,3,0,H,16,10,7,2,10,9,7,2,2,1,0,0,1.7,4.0,4.5,1.73,3.9,4.5,1.73,4.05,5.04,1.6,4.2,5.25,1.63,4.17,5.86,2022-23
F1,2022-08-07,Montpellier,Troyes,3,2,H,2,2,D,17,15,6,10,13,10,3,6,1,0,0,0,2.2,3.5,3.3,2.2,3.1,3.3,2.21,3.53,3.49,2.15,3.2,3.6,2.25,3.21,3.76,2022-23
F1,2022-08-07,Rennes,Lorient,0,1,A,0,0,D,21,8,6,2,11,5,7,2,3,1,0,0,1.36,5.25,8.5,1.33,5.25,8.75,1.36,5.56,9.19,1.5,4.75,6.0,1.53,4.76,6.18,2022-23
F1,2022-08-07,Marseille,Reims,4,1,H,2,0,H,16,16,6,6,14,10,6,7,2,0,0,0,1.57,4.2,5.5,1.53,4.1,6.25,1.61,4.1,6.32,1.61,3.8,5.25,1.66,3.93,5.94,2022-23
