Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2016-08-12,Bastia,Paris SG,0,1,A,0.0,0.0,D,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,13.0,4.75,1.29,11.0,5.0,1.33,11.39,5.14,1.36,12.13,5.29,1.34,2016-17
F1,2016-08-12,Monaco,Guingamp,2,2,D,0.0,2.0,A,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,1.62,3.8,5.25,1.65,3.75,5.5,1.68,3.81,6.11,1.71,3.75,5.87,2016-17
F1,2016-08-13,Bordeaux,St Etienne,3,2,H,1.0,0.0,H,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,2.5,3.1,3.1,2.4,3.0,3.1,2.52,3.06,3.29,2.39,3.04,3.66,2016-17
F1,2016-08-13,Caen,Lorient,3,2,H,2.0,2.0,D,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,2.2,3.25,3.5,2.1,3.2,3.5,2.19,3.38,3.66,2.39,3.19,3.47,2016-17
F1,2016-08-13,Dijon,Nantes,0,1,A,0.0,0.0,D,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,2.5,3.1,3.1,2.45,3.0,3.0,2.56,3.09,3.21,2.57,3.04,3.31,2016-17
F1,2016-08-13,Metz,Lille,3,2,H,0.0,1.0,A,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,3.4,3.2,2.2,3.3,3.0,2.3,3.65,3.07,2.35,3.75,3.14,2.3,2016-17
F1,2016-08-13,Montpellier,Angers,1,0,H,1.0,0.0,H,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,2.1,3.1,4.0,2.05,3.1,3.9,2.09,3.17,4.32,1.9,3.28,5.26,2016-17
F1,2016-08-14,Marseille,Toulouse,0,0,D,0.0,0.0,D,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,2.0,3.3,4.0,2.0,3.25,3.8,2.03,3.37,4.22,2.1,3.3,4.16,2016-17
F1,2016-08-14,Nancy,Lyon,0,3,A,0.0,2.0,A,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,3.5,3.3,2.15,3.3,3.2,2.2,3.66,3.44,2.17,2.98,3.29,2.63,2016-17
F1,2016-08-14,Nice,Rennes,1,0,H,0.0,0.0,D,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,2.38,3.1,3.25,2.45,3.0,3.0,2.51,3.18,3.2,2.45,3.15,3.39,2016-17
F1,2016-08-19,Lyon,Caen,2,0,H,1.0,0.0,H,21.0,7.0,7.0,1.0,17.0,14.0,13.0,3.0,3.0,4.0,0.0,0.0,1.33,4.75,9.5,1.4,4.6,8.25,1.38,5.4,9.15,1.41,5.16,8.6,2016-17
F1,2016-08-20,Angers,Nice,0,1,A,0.0,1.0,A,21.0,14.0,6.0,8.0,11.0,10.0,10.0,3.0,1.0,2.0,0.0,0.0,2.5,3.0,3.2,2.5,2.9,3.3,2.55,2.93,3.43,2.74,2.92,3.2,2016-17
F1,2016-08-20,Lille,Dijon,1,0,H,0.0,0.0,D,10.0,7.0,3.0,2.0,12.0,15.0,6.0,5.0,1.0,2.0,0.0,0.0,1.67,3.5,6.0,1.67,3.5,6.0,1.68,3.67,6.38,1.76,3.38,6.41,2016-17
F1,2016-08-20,Lorient,Bastia,0,3,A,0.0,2.0,A,10.0,16.0,3.0,7.0,15.0,11.0,2.0,5.0,2.0,4.0,2.0,0.0,1.85,3.5,4.5,1.85,3.3,4.75,1.9,3.37,4.96,2.23,3.06,4.09,2016-17
F1,2016-08-20,Nantes,Monaco,0,1,A,0.0,1.0,A,8.0,8.0,2.0,3.0,15.0,18.0,10.0,3.0,2.0,4.0,0.0,0.0,2.5,3.0,3.0,2.6,3.0,3.0,2.63,3.08,3.12,2.5,3.08,3.39,2016-17
