Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2021-08-06,Monaco,Nantes,1,1,D,1,1,D,15,5,3,1,6,14,5,2,0,0,0,0,1.44,4.33,7.0,1.45,4.6,7.0,1.51,4.62,6.82,1.4,4.75,7.5,1.44,4.83,8.07,2021-22
F1,2021-08-07,Lyon,Brest,1,1,D,0,1,A,17,13,4,8,10,12,9,4,1,1,0,0,1.33,5.0,8.5,1.36,5.5,7.5,1.35,5.95,8.71,1.36,5.0,8.5,1.37,5.55,8.59,2021-22
F1,2021-08-07,Troyes,Paris SG,1,2,A,1,2,A,15,12,7,3,3,15,9,1,1,4,0,0,11.0,6.0,1.25,10.0,6.0,1.28,11.77,6.04,1.28,9.5,5.25,1.3,9.57,5.6,1.35,2021-22
F1,2021-08-08,Rennes,Lens,1,1,D,1,1,D,10,11,2,6,10,14,3,9,0,2,0,0,2.0,3.4,3.75,2.0,3.5,3.8,2.06,3.61,3.85,1.85,3.4,4.2,1.93,3.68,4.32,2021-22
F1,2021-08-08,Bordeaux,Clermont,0,2,A,0,0,D,10,19,6,10,13,9,5,10,1,0,0,0,2.0,3.4,3.75,2.1,3.3,3.7,2.13,3.47,3.79,2.45,3.3,2.8,2.69,3.22,2.95,2021-22
F1,2021-08-08,Nice,Reims,0,0,D,0,0,D,12,5,2,0,10,8,4,2,1,1,0,0,1.85,3.5,4.2,1.9,3.7,4.0,1.88,3.78,4.38,1.75,3.6,4.75,1.82,3.58,5.12,2021-22
F1,2021-08-08,St Etienne,Lorient,1,1,D,0,0,D,20,12,3,3,10,14,8,4,2,3,0,0,2.25,3.25,3.2,2.25,3.4,3.2,2.27,3.64,3.26,2.1,3.5,3.4,2.22,3.46,3.54,2021-22
F1,2021-08-08,Strasbourg,Angers,0,2,A,0,0,D,7,9,1,2,18,18,5,4,2,3,0,0,2.0,3.2,4.0,1.95,3.5,4.0,2.01,3.55,4.1,2.0,3.4,3.75,2.08,3.41,4.02,2021-22
F1,2021-08-08,Metz,Lille,3,3,D,2,1,H,12,18,5,7,9,10,4,5,1,2,1,0,5.25,3.4,1.72,5.75,3.5,1.7,5.8,3.44,1.78,5.0,3.4,1.8,5.36,3.42,1.84,2021-22
F1,2021-08-08,Montpellier,Marseille,2,3,A,2,0,H,8,21,1,7,10,5,6,11,0,1,0,0,3.2,3.4,2.2,3.1,3.5,2.25,3.12,3.58,2.37,3.75,3.5,2.0,3.65,3.7,2.09,2021-22
F1,2021-08-13,Lorient,Monaco,1,0,H,1,0,H,2,12,2,3,17,15,0,6,3,2,0,0,4.0,3.75,1.85,4.33,3.5,1.87,4.31,3.59,1.95,4.0,3.75,1.85,4.27,3.6,1.95,2021-22
F1,2021-08-14,Lille,Nice,0,4,A,0,3,A,11,11,2,7,9,13,8,7,3,1,0,0,1.8,3.5,4.75,1.85,3.5,4.5,1.85,3.61,4.86,1.8,3.4,4.75,1.89,3.5,4.78,2021-22
F1,2021-08-14,Paris SG,Strasbourg,4,2,H,3,0,H,11,8,6,2,6,18,4,4,1,4,0,1,1.2,7.0,13.0,1.22,6.25,14.0,1.21,7.74,13.76,1.22,6.5,12.0,1.24,7.03,12.46,2021-22
F1,2021-08-15,Angers,Lyon,3,0,H,1,0,H,13,8,6,3,11,17,6,4,1,5,0,1,4.5,3.8,1.75,4.6,3.8,1.75,4.38,3.81,1.88,4.5,3.75,1.8,4.47,3.83,1.85,2021-22
F1,2021-08-15,Brest,Rennes,1,1,D,0,0,D,10,6,5,2,7,16,6,11,2,3,0,0,3.1,3.4,2.3,3.1,3.3,2.35,3.14,3.43,2.42,3.5,3.4,2.05,3.69,3.35,2.21,2021-22
F1,2021-08-15,Clermont,Troyes,2,0,H,0,0,D,18,6,8,1,6,11,9,2,1,3,0,1,2.0,3.4,3.8,2.0,3.6,3.7,2.09,3.59,3.77,1.9,3.6,4.0,1.93,3.71,4.24,2021-22
F1,2021-08-15,Nantes,Metz,2,0,H,1,0,H,11,10,7,5,18,11,6,6,2,0,0,0,2.3,3.2,3.25,2.3,3.2,3.3,2.36,3.27,3.43,2.1,3.2,3.75,2.14,3.36,3.89,2021-22
F1,2021-08-15,Reims,Montpellier,3,3,D,2,3,A,19,15,9,5,11,12,8,7,2,1,0,0,2.6,3.3,2.75,2.55,3.3,2.8,2.75,3.22,2.87,2.45,3.4,2.8,2.56,3.3,3.04,2021-22
F1,2021-08-15,Lens,St Etienne,2,2,D,1,1,D,22,12,7,7,10,17,7,2,1,6,0,0,2.0,3.5,3.75,2.0,3.5,3.8,2.1,3.61,3.72,2.0,3.6,3.6,2.1,3.54,3.8,2021-22
F1,2021-08-15,Marseille,Bordeaux,2,2,D,2,0,H,10,8,2,2,6,11,3,4,2,2,1,0,1.53,4.2,6.0,1.55,4.2,6.0,1.55,4.47,6.39,1.45,4.33,7.0,1.5,4.58,7.24,2021-22
F1,2021-08-20,Brest,Paris SG,2,4,A,1,2,A,11,16,3,8,8,7,3,9,1,2,0,0,9.5,5.75,1.25,10.0,6.0,1.28,11.18,6.21,1.28,9.5,5.25,1.33,9.67,5.82,1.33,2021-22
F1,2021-08-21,Monaco,Lens,0,2,A,0,0,D,9,4,2,2,11,14,13,3,1,1,1,1,1.7,3.75,4.75,1.78,3.7,4.6,1.79,3.77,4.99,1.72,3.75,4.75,1.78,3.8,5.05,2021-22
F1,2021-08-21,St Etienne,Lille,1,1,D,0,1,A,10,8,2,6,14,10,5,3,1,3,0,0,3.1,3.2,2.4,3.2,3.3,2.3,3.09,3.29,2.53,3.1,3.2,2.4,3.19,3.22,2.51,2021-22
F1,2021-08-22,Lyon,Clermont,3,3,D,3,1,H,21,17,9,5,10,6,5,8,2,2,0,0,1.55,4.5,5.25,1.6,4.2,5.25,1.61,4.29,5.8,1.57,4.5,5.0,1.62,4.46,5.47,2021-22
F1,2021-08-22,Bordeaux,Angers,1,1,D,1,1,D,14,6,5,3,19,5,3,3,2,0,0,0,2.87,3.2,2.62,2.8,3.4,2.5,2.89,3.32,2.67,3.4,3.2,2.25,3.45,3.18,2.4,2021-22
F1,2021-08-22,Metz,Reims,1,1,D,1,1,D,10,12,4,3,19,14,5,8,4,2,1,1,2.25,3.2,3.4,2.35,2.95,3.5,2.39,3.0,3.68,2.2,3.2,3.5,2.33,3.16,3.61,2021-22
F1,2021-08-22,Montpellier,Lorient,3,1,H,0,1,A,32,5,11,4,8,13,5,1,0,6,0,2,2.1,3.4,3.5,2.25,3.25,3.4,2.26,3.35,3.56,2.15,3.5,3.3,2.27,3.44,3.44,2021-22
F1,2021-08-22,Strasbourg,Troyes,1,1,D,0,1,A,14,10,4,6,16,17,6,3,3,1,0,0,2.0,3.4,3.75,2.05,3.4,3.8,2.12,3.4,3.87,1.9,3.4,4.0,2.0,3.59,4.1,2021-22
F1,2021-08-22,Rennes,Nantes,1,0,H,0,0,D,14,4,5,1,14,13,6,2,2,2,0,0,1.85,3.6,4.2,1.87,3.6,4.25,1.88,3.71,4.5,1.65,3.75,5.5,1.65,3.91,6.11,2021-22
F1,2021-08-27,Nantes,Lyon,0,1,A,0,1,A,18,12,5,5,7,11,6,6,2,2,0,1,4.5,4.0,1.66,4.6,4.0,1.72,4.84,4.1,1.74,4.33,4.0,1.7,4.67,3.99,1.79,2021-22
F1,2021-08-28,Nice,Bordeaux,4,0,H,3,0,H,11,13,5,4,18,11,3,0,3,2,0,0,1.6,4.2,5.25,1.65,4.1,5.0,1.68,4.0,5.54,1.8,4.0,4.2,1.87,3.68,4.63,2021-22
F1,2021-08-28,Marseille,St Etienne,3,1,H,1,1,D,19,11,5,7,11,18,5,4,1,3,0,0,1.7,3.8,4.75,1.72,3.75,5.0,1.74,3.97,5.1,1.61,3.8,5.0,1.69,4.01,5.46,2021-22
F1,2021-08-29,Troyes,Monaco,1,2,A,0,1,A,12,7,3,4,11,11,5,3,1,2,0,0,4.33,3.6,1.83,4.33,3.7,1.83,4.44,3.76,1.88,5.0,3.75,1.7,4.67,3.63,1.87,2021-22
F1,2021-08-29,Angers,Rennes,2,0,H,0,0,D,16,7,4,2,14,10,3,1,1,2,0,1,2.9,3.25,2.5,2.8,3.3,2.55,2.99,3.29,2.61,2.75,3.1,2.62,3.01,3.09,2.73,2021-22
F1,2021-08-29,Clermont,Metz,2,2,D,1,2,A,16,12,4,4,11,15,6,3,1,2,0,0,1.72,3.75,4.75,1.8,3.7,4.5,1.81,3.82,4.74,1.61,4.0,5.5,1.67,4.01,5.69,2021-22
F1,2021-08-29,Lens,Lorient,2,2,D,1,2,A,19,15,9,7,10,10,8,4,2,4,0,0,1.75,3.6,5.0,1.8,3.5,4.75,1.77,3.77,5.17,1.6,3.8,6.0,1.62,4.18,5.94,2021-22
F1,2021-08-29,Strasbourg,Brest,3,1,H,2,1,H,11,11,5,5,12,10,1,9,1,1,0,0,2.0,3.3,4.0,2.05,3.3,3.9,2.06,3.4,4.09,1.95,3.4,4.0,2.01,3.58,4.08,2021-22
F1,2021-08-29,Lille,Montpellier,2,1,H,1,1,D,15,6,4,3,15,19,3,4,3,7,0,1,1.66,4.0,5.0,1.72,3.7,5.0,1.72,3.9,5.35,1.6,4.0,5.5,1.67,4.13,5.49,2021-22
F1,2021-08-29,Reims,Paris SG,0,2,A,0,1,A,11,12,4,3,13,13,3,3,1,3,0,0,17.0,8.0,1.14,17.0,8.0,1.16,15.58,7.92,1.19,13.0,7.0,1.18,15.15,7.73,1.2,2021-22
F1,2021-09-10,Lorient,Lille,2,1,H,1,1,D,14,9,7,3,13,11,2,5,2,2,0,0,3.4,3.4,2.15,3.3,3.2,2.2,3.52,3.3,2.3,3.4,3.4,2.15,3.68,3.3,2.23,2021-22
F1,2021-09-11,Paris SG,Clermont,4,0,H,2,0,H,13,14,7,2,13,9,4,4,0,1,0,0,1.25,6.5,10.0,1.25,6.0,9.75,1.26,6.37,12.02,1.28,5.75,9.5,1.31,5.8,10.0,2021-22
F1,2021-09-11,Monaco,Marseille,0,2,A,0,1,A,7,13,0,5,17,8,3,2,4,1,0,0,2.0,3.6,3.6,2.0,3.6,3.4,2.08,3.76,3.63,1.83,3.6,4.33,1.85,3.7,4.66,2021-22
F1,2021-09-12,Montpellier,St Etienne,2,0,H,1,0,H,11,14,4,2,15,17,7,6,1,4,0,0,2.55,3.5,2.7,2.6,3.4,2.55,2.66,3.59,2.72,2.45,3.6,2.7,2.6,3.56,2.8,2021-22
F1,2021-09-12,Bordeaux,Lens,2,3,A,0,2,A,11,12,3,5,8,11,2,7,3,2,0,0,3.3,3.5,2.15,3.1,3.4,2.2,3.32,3.61,2.25,3.1,3.5,2.25,3.18,3.45,2.39,2021-22
F1,2021-09-12,Brest,Angers,1,1,D,0,0,D,12,8,6,2,19,9,5,3,3,2,1,0,2.6,3.4,2.7,2.6,3.4,2.55,2.68,3.49,2.76,2.55,3.4,2.8,2.69,3.17,2.99,2021-22
F1,2021-09-12,Metz,Troyes,0,2,A,0,0,D,16,10,2,5,15,14,2,1,2,1,0,0,2.25,3.3,3.25,2.2,3.2,3.25,2.35,3.41,3.31,2.3,3.3,3.0,2.45,3.31,3.2,2021-22
F1,2021-09-12,Rennes,Reims,0,2,A,0,1,A,9,7,1,3,18,11,4,6,1,2,0,0,1.65,3.75,5.75,1.62,3.6,5.75,1.71,3.67,5.98,1.7,3.4,5.5,1.76,3.55,5.71,2021-22
F1,2021-09-12,Nantes,Nice,0,2,A,0,0,D,19,9,7,3,7,13,8,3,2,3,0,0,3.3,3.4,2.2,3.2,3.3,2.2,3.48,3.39,2.27,2.8,3.3,2.55,2.95,3.24,2.68,2021-22
F1,2021-09-12,Lyon,Strasbourg,3,1,H,1,0,H,14,12,7,4,8,11,4,6,2,1,0,0,1.53,4.5,5.75,1.5,4.4,5.75,1.53,4.58,6.42,1.5,4.5,6.0,1.6,4.31,5.99,2021-22
F1,2021-09-17,Strasbourg,Metz,3,0,H,3,0,H,10,15,6,5,16,8,3,7,2,4,0,0,1.85,3.6,4.2,1.85,3.5,4.5,1.9,3.58,4.6,1.85,3.6,4.2,1.88,3.56,4.74,2021-22
F1,2021-09-18,Lens,Lille,1,0,H,0,0,D,13,6,4,2,12,8,4,3,2,2,0,0,2.55,3.2,2.87,2.6,3.25,2.8,2.56,3.41,2.96,2.45,3.25,2.9,2.61,3.33,2.95,2021-22
F1,2021-09-18,St Etienne,Bordeaux,1,2,A,0,1,A,12,13,5,3,9,11,7,2,1,4,0,0,1.95,3.25,4.2,1.95,3.4,4.1,1.97,3.53,4.32,1.85,3.6,4.2,1.94,3.61,4.34,2021-22
F1,2021-09-19,Nice,Monaco,2,2,D,0,1,A,12,8,3,3,17,12,5,2,2,3,0,0,2.62,3.5,2.62,2.7,3.5,2.55,2.78,3.41,2.72,3.1,3.4,2.3,3.3,3.32,2.4,2021-22
F1,2021-09-19,Angers,Nantes,1,4,A,1,3,A,10,8,5,4,10,16,10,5,2,2,0,0,2.1,3.3,3.6,2.1,3.3,3.7,2.17,3.36,3.78,2.05,3.25,3.9,2.21,3.16,3.94,2021-22
F1,2021-09-19,Clermont,Brest,1,1,D,0,0,D,7,5,4,1,7,19,3,5,1,1,1,0,1.8,3.75,4.33,1.85,3.75,4.1,1.87,3.97,4.21,1.8,3.8,4.2,1.91,3.72,4.32,2021-22
F1,2021-09-19,Reims,Lorient,0,0,D,0,0,D,10,6,2,3,12,14,5,6,2,3,0,0,2.15,3.3,3.4,2.25,3.3,3.3,2.27,3.47,3.42,2.15,3.3,3.4,2.32,3.15,3.66,2021-22
F1,2021-09-19,Troyes,Montpellier,1,1,D,1,0,H,8,6,3,2,16,11,1,6,4,4,0,1,2.45,3.5,2.8,2.55,3.4,2.75,2.58,3.56,2.83,2.37,3.6,2.87,2.51,3.47,2.99,2021-22
F1,2021-09-19,Marseille,Rennes,2,0,H,0,0,D,17,13,6,2,5,17,6,7,0,2,0,0,1.9,3.6,3.8,1.95,3.5,3.9,1.97,3.63,4.15,1.9,3.5,3.8,1.98,3.59,4.18,2021-22
