Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2019-08-09,Monaco,Lyon,0,3,A,0,2,A,7,13,1,3,10,17,2,5,2,2,1,0,3.0,3.3,2.37,2.85,3.3,2.4,2.95,3.57,2.43,3.5,3.4,2.05,3.37,3.65,2.19,2019-20
F1,2019-08-10,Marseille,Reims,0,2,A,0,0,D,10,8,2,5,18,8,5,3,1,0,0,0,1.66,3.5,6.0,1.62,3.6,5.75,1.65,3.82,6.06,1.66,3.4,6.0,1.78,3.39,5.7,2019-20
F1,2019-08-10,Angers,Bordeaux,3,1,H,3,1,H,14,8,4,3,11,15,4,3,2,1,0,0,2.37,3.1,3.2,2.35,3.1,3.1,2.34,3.29,3.35,2.05,3.2,3.8,2.1,3.24,4.08,2019-20
F1,2019-08-10,Brest,Toulouse,1,1,D,1,0,H,16,13,5,3,11,14,4,7,0,0,0,0,2.37,3.2,3.1,2.4,3.1,3.0,2.42,3.33,3.17,2.0,3.3,3.8,2.1,3.44,3.81,2019-20
F1,2019-08-10,Dijon,St Etienne,1,2,A,1,2,A,15,12,7,4,17,10,12,5,0,2,0,0,4.0,3.2,2.05,3.6,3.25,2.05,3.69,3.46,2.13,3.8,3.4,2.0,3.84,3.47,2.08,2019-20
F1,2019-08-10,Montpellier,Rennes,0,1,A,0,1,A,24,9,5,3,20,19,7,1,3,3,0,1,2.25,3.1,3.5,2.3,3.1,3.2,2.32,3.28,3.4,2.2,3.2,3.5,2.29,3.26,3.49,2019-20
F1,2019-08-10,Nice,Amiens,2,1,H,1,0,H,17,8,6,2,10,8,7,3,3,4,0,1,2.2,3.0,3.8,2.1,3.0,3.8,2.2,3.01,4.11,2.25,3.0,3.75,2.36,3.01,3.64,2019-20
F1,2019-08-11,Lille,Nantes,2,1,H,1,0,H,13,13,3,3,13,17,5,11,2,4,0,0,1.95,3.3,4.2,1.85,3.25,4.5,1.99,3.14,4.84,2.3,3.1,3.25,2.42,3.03,3.5,2019-20
F1,2019-08-11,Strasbourg,Metz,1,1,D,1,0,H,13,7,2,3,6,12,3,4,0,1,0,0,2.05,3.2,4.0,2.05,3.25,3.6,2.07,3.3,4.11,2.2,3.1,3.5,2.33,3.0,3.74,2019-20
F1,2019-08-11,Paris SG,Nimes,3,0,H,1,0,H,12,5,5,1,17,8,2,6,2,0,0,0,1.1,10.0,23.0,1.1,9.0,21.0,1.1,10.78,28.65,1.07,11.0,29.0,1.08,12.97,31.01,2019-20
F1,2019-08-16,Lyon,Angers,6,0,H,3,0,H,11,10,9,3,7,14,2,5,1,2,0,0,1.5,4.33,6.0,1.48,4.5,6.5,1.51,4.51,6.74,1.45,4.33,7.0,1.52,4.62,6.6,2019-20
F1,2019-08-17,Nantes,Marseille,0,0,D,0,0,D,13,9,6,2,16,18,7,3,0,3,0,0,2.6,3.1,2.9,2.6,3.2,2.8,2.62,3.16,3.01,2.4,3.1,3.1,2.53,3.19,3.12,2019-20
F1,2019-08-17,Amiens,Lille,1,0,H,0,0,D,8,10,3,1,13,7,3,10,1,1,0,1,3.3,3.1,2.37,3.4,3.1,2.3,3.3,3.15,2.44,3.3,3.1,2.37,3.3,3.15,2.44,2019-20
F1,2019-08-17,Bordeaux,Montpellier,1,1,D,0,1,A,13,10,4,4,15,21,3,5,2,1,0,0,2.62,3.0,3.0,2.8,2.9,2.85,2.79,3.0,2.96,2.55,3.0,3.1,2.65,2.99,3.15,2019-20
F1,2019-08-17,Metz,Monaco,3,0,H,1,0,H,18,12,10,6,16,7,6,4,1,2,0,1,3.0,3.2,2.5,3.1,3.1,2.5,3.05,3.15,2.6,3.1,3.2,2.4,3.19,3.19,2.48,2019-20
F1,2019-08-17,Nimes,Nice,1,2,A,1,2,A,18,6,5,3,21,12,2,1,5,5,2,1,2.1,3.3,3.6,2.2,3.25,3.5,2.15,3.45,3.63,2.0,3.4,3.8,2.11,3.45,3.76,2019-20
F1,2019-08-17,Toulouse,Dijon,1,0,H,0,0,D,18,18,7,5,11,5,7,5,2,0,0,0,2.1,3.1,4.0,1.95,3.5,3.9,2.02,3.49,4.03,1.9,3.5,4.1,2.02,3.5,4.04,2019-20
F1,2019-08-18,St Etienne,Brest,1,1,D,0,1,A,19,9,5,4,16,8,4,2,1,2,0,0,1.61,3.75,6.0,1.62,4.0,5.5,1.63,3.99,5.94,1.6,3.8,6.0,1.64,3.91,6.05,2019-20
