Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2017-08-19,St Etienne,Amiens,3,0,H,2,0,H,13,16,5,1,11,12,3,11,2,2,0,0,1.53,4.0,7.0,1.5,3.9,7.75,1.57,4.01,7.16,1.62,3.76,7.36,2017-18
F1,2017-08-19,Troyes,Nantes,0,1,A,0,0,D,8,11,1,4,7,8,2,10,1,0,0,1,2.5,3.1,3.1,2.55,3.2,2.9,2.6,3.23,3.02,2.61,3.25,3.04,2017-18
F1,2017-08-20,Lille,Caen,0,2,A,0,1,A,15,11,4,3,9,12,5,3,2,2,0,0,1.6,3.8,6.0,1.62,4.0,5.5,1.66,4.0,5.79,1.76,3.89,5.16,2017-18
F1,2017-08-20,Marseille,Angers,1,1,D,1,0,H,12,11,2,4,20,7,11,2,3,2,1,0,1.6,3.9,5.75,1.62,3.9,5.75,1.62,4.07,6.21,1.67,3.77,6.45,2017-18
F1,2017-08-20,Paris SG,Toulouse,6,2,H,2,1,H,24,7,15,1,8,19,7,1,0,4,1,0,1.08,11.0,34.0,1.09,10.5,29.0,1.1,12.65,27.99,1.1,12.2,39.17,2017-18
F1,2017-08-25,Paris SG,St Etienne,3,0,H,1,0,H,14,12,4,2,20,12,8,3,2,3,0,0,1.08,11.0,29.0,1.09,10.5,29.0,1.11,12.0,28.0,1.09,13.25,35.0,2017-18
F1,2017-08-26,Amiens,Nice,3,0,H,2,0,H,12,12,4,3,14,7,3,4,3,3,0,0,3.3,3.2,2.3,3.5,3.25,2.2,3.62,3.26,2.26,3.25,3.33,2.42,2017-18
F1,2017-08-26,Bordeaux,Troyes,2,1,H,1,0,H,12,5,8,2,9,17,4,4,0,1,0,0,1.44,4.5,7.5,1.44,4.4,7.75,1.43,4.77,8.7,1.42,4.92,8.94,2017-18
F1,2017-08-26,Caen,Metz,1,0,H,0,0,D,16,9,4,2,11,16,9,3,2,2,0,0,1.85,3.4,4.75,1.78,3.5,5.0,1.86,3.54,4.89,1.81,3.7,5.07,2017-18
F1,2017-08-26,Dijon,Montpellier,2,1,H,1,0,H,7,11,2,2,18,14,2,4,2,2,0,0,2.55,3.2,2.88,2.6,3.2,2.85,2.63,3.28,2.94,2.65,3.3,2.94,2017-18
F1,2017-08-26,Nantes,Lyon,0,0,D,0,0,D,6,16,2,3,13,11,1,8,1,1,0,0,3.6,3.4,2.1,3.5,3.5,2.1,3.47,3.66,2.16,3.76,3.56,2.11,2017-18
F1,2017-08-26,Toulouse,Rennes,3,2,H,1,1,D,11,14,7,3,19,22,3,4,4,3,0,1,2.3,3.1,3.4,2.3,3.1,3.4,2.32,3.23,3.51,2.28,3.31,3.58,2017-18
F1,2017-08-27,Angers,Lille,1,1,D,0,0,D,11,13,2,3,10,10,7,1,2,5,0,0,2.25,3.1,3.5,2.2,3.2,3.5,2.21,3.27,3.75,2.14,3.3,4.0,2017-18
F1,2017-08-27,Guingamp,Strasbourg,2,0,H,0,0,D,14,15,6,3,12,14,2,7,1,2,0,0,1.91,3.4,4.33,1.91,3.5,4.1,1.91,3.44,4.76,1.78,3.74,5.24,2017-18
F1,2017-08-27,Monaco,Marseille,6,1,H,4,0,H,14,10,8,3,11,14,1,1,2,3,0,0,1.62,4.0,5.5,1.6,4.1,5.5,1.63,4.23,5.74,1.59,4.46,6.02,2017-18
F1,2017-09-08,Lille,Bordeaux,0,0,D,0,0,D,8,17,2,1,11,13,5,3,2,4,1,0,3.0,3.3,2.45,2.85,3.25,2.55,2.96,3.35,2.61,2.82,3.37,2.7,2017-18
F1,2017-09-08,Metz,Paris SG,1,5,A,1,1,D,8,23,1,12,10,8,6,7,0,1,1,0,19.0,10.0,1.13,26.0,9.5,1.1,27.0,10.2,1.13,34.0,12.0,1.1,2017-18
F1,2017-09-09,Caen,Dijon,2,1,H,1,1,D,12,9,3,4,19,17,8,3,1,2,1,0,2.05,3.2,4.0,2.05,3.25,3.9,2.04,3.41,4.12,1.9,3.53,4.71,2017-18
