MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2025-08-15,Rennes,Marseille,1,0,H,0,0,D,12,24,5,2,8,11,1,12,2,3,1,0,3.5,3.6,2.05,3.4,3.5,2.05,3.64,3.58,2.11,3.9,3.6,1.91,3.99,3.69,1.97,2025-26
2025-08-16,Lens,Lyon,0,1,A,0,1,A,18,11,5,3,13,20,13,8,2,3,0,0,2.3,3.6,2.9,2.25,3.6,2.95,2.35,3.63,3.02,2.5,3.4,2.75,2.41,3.61,2.98,2025-26
2025-08-16,Monaco,Le Havre,3,1,H,1,0,H,13,9,3,4,5,14,5,4,0,1,0,0,1.33,5.25,8.0,1.36,5.25,7.75,1.34,5.61,8.59,1.22,7.0,11.0,1.24,6.79,12.26,2025-26
2025-08-16,Nice,Toulouse,0,1,A,0,0,D,13,10,2,2,12,13,9,4,2,3,0,0,2.1,3.3,3.6,2.15,3.4,3.3,2.12,3.45,3.69,1.91,3.4,4.1,2.15,3.36,3.77,2025-26
2025-08-17,Brest,Lille,3,3,D,1,2,A,18,10,5,6,11,13,2,2,2,1,0,0,3.3,3.4,2.2,3.2,3.5,2.15,3.36,3.48,2.23,2.45,3.2,3.0,2.71,3.23,2.87,2025-26
2025-08-17,Angers,Paris FC,1,0,H,1,0,H,8,17,2,7,14,10,3,7,2,1,1,0,2.63,3.2,2.8,2.6,3.2,2.75,2.75,3.17,2.83,3.1,3.25,2.35,3.24,3.46,2.33,2025-26
2025-08-17,Auxerre,Lorient,1,0,H,0,0,D,7,14,3,3,18,14,4,5,3,2,0,0,2.38,3.3,3.0,2.35,3.4,2.9,2.4,3.46,3.06,2.55,3.2,2.88,2.47,3.29,3.14,2025-26
2025-08-17,Metz,Strasbourg,0,1,A,0,0,D,2,9,0,4,16,13,3,3,2,2,0,0,3.2,3.4,2.25,2.95,3.4,2.3,3.23,3.48,2.29,3.75,3.5,2.0,3.52,3.53,2.17,2025-26
2025-08-17,Nantes,Paris SG,0,1,A,0,0,D,6,18,0,4,6,6,2,7,1,1,0,0,7.5,5.5,1.36,7.75,5.75,1.34,8.26,5.72,1.35,13.0,7.0,1.2,11.14,6.54,1.26,2025-26
2025-08-22,Paris SG,Angers,1,0,H,0,0,D,21,3,4,0,3,9,12,0,0,0,0,0,1.08,12.0,21.0,1.1,11.5,26.0,1.09,12.5,27.0,1.06,13.0,23.0,1.09,12.48,27.07,2025-26
2025-08-23,Marseille,Paris FC,5,2,H,2,1,H,12,8,7,4,9,12,5,2,1,0,0,0,1.38,5.0,7.5,1.39,5.0,7.5,1.39,5.14,8.08,1.42,5.0,6.25,1.42,5.09,7.5,2025-26
2025-08-23,Nice,Auxerre,3,1,H,2,1,H,16,12,6,8,10,15,5,4,2,2,0,1,1.62,4.2,5.0,1.62,4.2,5.0,1.68,4.12,4.98,1.85,3.7,4.1,1.85,3.81,4.42,2025-26
2025-08-23,Lyon,Metz,3,0,H,2,0,H,13,11,8,2,13,15,4,3,0,2,0,0,1.4,5.0,7.0,1.41,5.0,7.0,1.4,5.19,7.54,1.4,5.0,7.0,1.43,5.17,7.3,2025-26
