Date,HomeTeam,AwayTeam,Bookmaker,HomeWinOdds,DrawOdds,AwayWinOdds,ImpliedProb_HomeWin,ImpliedProb_Draw,ImpliedProb_AwayWin,BookmakerMargin
2026-10-09,Lens,Lyon,DraftKings,2.1,3.55,2.95,0.4341,0.2568,0.309,9.69
2026-10-10,Monaco,Toulouse,DraftKings,1.6896551724137931,3.85,4.1,0.5403,0.2371,0.2226,9.55
2026-10-10,Brest,Angers,DraftKings,1.8695652173913042,3.55,3.6,0.4888,0.2574,0.2538,9.44
2026-10-10,Lorient,Paris FC,DraftKings,2.8,3.25,2.3,0.3248,0.2798,0.3954,9.96
2026-10-10,Paris SG,Le Mans,DraftKings,1.0909090909090908,9.5,14.0,0.8384,0.0963,0.0653,9.34
2026-10-11,Nice,Strasbourg,DraftKings,2.15,3.4,2.95,0.4235,0.2678,0.3087,9.82
2026-10-11,Stade Rennes,Auxerre,DraftKings,1.3846153846153846,4.8,6.0,0.6582,0.1899,0.1519,9.72
2026-10-11,Troyes,Marseille,DraftKings,3.45,3.65,1.9090909090909092,0.2665,0.2519,0.4816,8.76
