Date,Time,Matchday,HomeTeam,AwayTeam,Status
2026-11-27,07:00 PM ET,12,Lyon,Monaco,SCHEDULED
2026-12-04,07:00 PM ET,13,ES Troyes AC,Lyon,SCHEDULED
2026-12-04,07:00 PM ET,13,Monaco,Angers,SCHEDULED
2026-12-04,07:00 PM ET,13,Racing Club de Lens,Le Havre,SCHEDULED
2026-12-04,07:00 PM ET,13,Lille,Auxerre,SCHEDULED
2026-12-04,07:00 PM ET,13,Marseille,Nice,SCHEDULED
2026-12-04,07:00 PM ET,13,Stade Rennais FC 1901,Brest,SCHEDULED
2026-12-04,07:00 PM ET,13,Toulouse,Paris SG,SCHEDULED
2026-12-04,07:00 PM ET,13,Strasbourg,Lorient,SCHEDULED
2026-12-04,07:00 PM ET,13,Paris FC,Le Mans FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Nice,Racing Club de Lens,SCHEDULED
2026-12-11,07:00 PM ET,14,Paris SG,Paris FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Angers,Strasbourg,SCHEDULED
2026-12-11,07:00 PM ET,14,Brest,ES Troyes AC,SCHEDULED
2026-12-11,07:00 PM ET,14,Le Havre,Le Mans FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Stade Rennais FC 1901,Monaco,SCHEDULED
2026-12-11,07:00 PM ET,14,Lorient,Lille,SCHEDULED
2026-12-11,07:00 PM ET,14,Auxerre,Toulouse,SCHEDULED
2026-12-13,02:45 PM ET,14,Lyon,Marseille,TIMED
2027-01-01,07:00 PM ET,15,Le Mans FC,Lyon,SCHEDULED
2027-01-01,07:00 PM ET,15,Brest,Marseille,SCHEDULED
2027-01-01,07:00 PM ET,15,ES Troyes AC,Stade Rennais FC 1901,SCHEDULED
2027-01-01,07:00 PM ET,15,Toulouse,Angers,SCHEDULED
2027-01-01,07:00 PM ET,15,Monaco,Nice,SCHEDULED
2027-01-01,07:00 PM ET,15,Paris FC,Le Havre,SCHEDULED
2027-01-01,07:00 PM ET,15,Lorient,Auxerre,SCHEDULED
2027-01-01,07:00 PM ET,15,Lille,Strasbourg,SCHEDULED
2027-01-03,02:45 PM ET,15,Racing Club de Lens,Paris SG,TIMED
2027-01-15,07:00 PM ET,16,Marseille,Lille,SCHEDULED
2027-01-15,07:00 PM ET,16,Lyon,Lorient,SCHEDULED
2027-01-15,07:00 PM ET,16,Paris FC,Toulouse,SCHEDULED
2027-01-15,07:00 PM ET,16,Stade Rennais FC 1901,Racing Club de Lens,SCHEDULED
2027-01-15,07:00 PM ET,16,Nice,Le Havre,SCHEDULED
2027-01-15,07:00 PM ET,16,Auxerre,ES Troyes AC,SCHEDULED
2027-01-15,07:00 PM ET,16,Strasbourg,Le Mans FC,SCHEDULED
2027-01-15,07:00 PM ET,16,Monaco,Brest,SCHEDULED
2027-01-15,07:00 PM ET,16,Angers,Paris SG,SCHEDULED
2027-01-22,07:00 PM ET,17,Le Havre,Stade Rennais FC 1901,SCHEDULED
2027-01-22,07:00 PM ET,17,Strasbourg,Lyon,SCHEDULED
2027-01-22,07:00 PM ET,17,Lille,Paris FC,SCHEDULED
2027-01-22,07:00 PM ET,17,Racing Club de Lens,Brest,SCHEDULED
2027-01-22,07:00 PM ET,17,Paris SG,Auxerre,SCHEDULED
2027-01-22,07:00 PM ET,17,ES Troyes AC,Monaco,SCHEDULED
2027-01-22,07:00 PM ET,17,Lorient,Marseille,SCHEDULED
2027-01-22,07:00 PM ET,17,Le Mans FC,Angers,SCHEDULED
2027-01-22,07:00 PM ET,17,Toulouse,Nice,SCHEDULED
2027-01-29,07:00 PM ET,18,Paris FC,Auxerre,SCHEDULED
2027-01-29,07:00 PM ET,18,Lyon,Lille,SCHEDULED
2027-01-29,07:00 PM ET,18,Stade Rennais FC 1901,Lorient,SCHEDULED
2027-01-29,07:00 PM ET,18,Le Mans FC,Nice,SCHEDULED
2027-01-29,07:00 PM ET,18,Marseille,ES Troyes AC,SCHEDULED
2027-01-29,07:00 PM ET,18,Angers,Le Havre,SCHEDULED
2027-01-29,07:00 PM ET,18,Brest,Strasbourg,SCHEDULED
2027-01-29,07:00 PM ET,18,Monaco,Paris SG,SCHEDULED
2027-01-29,07:00 PM ET,18,Toulouse,Racing Club de Lens,SCHEDULED
2027-02-05,07:00 PM ET,19,ES Troyes AC,Lille,SCHEDULED
2027-02-05,07:00 PM ET,19,Racing Club de Lens,Angers,SCHEDULED
2027-02-05,07:00 PM ET,19,Le Havre,Toulouse,SCHEDULED
2027-02-05,07:00 PM ET,19,Lorient,Le Mans FC,SCHEDULED
2027-02-05,07:00 PM ET,19,Nice,Brest,SCHEDULED
2027-02-05,07:00 PM ET,19,Stade Rennais FC 1901,Lyon,SCHEDULED
2027-02-05,07:00 PM ET,19,Strasbourg,Paris FC,SCHEDULED
2027-02-05,07:00 PM ET,19,Auxerre,Monaco,SCHEDULED
2027-02-07,02:45 PM ET,19,Paris SG,Marseille,TIMED
2027-02-12,07:00 PM ET,20,Brest,Stade Rennais FC 1901,SCHEDULED
2027-02-12,07:00 PM ET,20,Paris FC,ES Troyes AC,SCHEDULED
2027-02-12,07:00 PM ET,20,Le Mans FC,Paris SG,SCHEDULED
2027-02-12,07:00 PM ET,20,Lorient,Le Havre,SCHEDULED
2027-02-12,07:00 PM ET,20,Auxerre,Strasbourg,SCHEDULED
2027-02-12,07:00 PM ET,20,Toulouse,Monaco,SCHEDULED
2027-02-12,07:00 PM ET,20,Marseille,Angers,SCHEDULED
2027-02-12,07:00 PM ET,20,Lille,Nice,SCHEDULED
2027-02-12,07:00 PM ET,20,Lyon,Racing Club de Lens,SCHEDULED
2027-02-19,07:00 PM ET,21,Angers,Paris FC,SCHEDULED
2027-02-19,07:00 PM ET,21,Stade Rennais FC 1901,Toulouse,SCHEDULED
2027-02-19,07:00 PM ET,21,Paris SG,Brest,SCHEDULED
2027-02-19,07:00 PM ET,21,Strasbourg,Marseille,SCHEDULED
2027-02-19,07:00 PM ET,21,Nice,Auxerre,SCHEDULED
2027-02-19,07:00 PM ET,21,Le Havre,Lyon,SCHEDULED
2027-02-19,07:00 PM ET,21,Monaco,Le Mans FC,SCHEDULED
2027-02-19,07:00 PM ET,21,Lille,Lorient,SCHEDULED
2027-02-19,07:00 PM ET,21,Racing Club de Lens,ES Troyes AC,SCHEDULED
2027-02-26,07:00 PM ET,22,Strasbourg,Le Havre,SCHEDULED
2027-02-26,07:00 PM ET,22,Auxerre,Lille,SCHEDULED
2027-02-26,07:00 PM ET,22,ES Troyes AC,Nice,SCHEDULED
2027-02-26,07:00 PM ET,22,Brest,Monaco,SCHEDULED
2027-02-26,07:00 PM ET,22,Lorient,Angers,SCHEDULED
2027-02-26,07:00 PM ET,22,Marseille,Stade Rennais FC 1901,SCHEDULED
2027-02-26,07:00 PM ET,22,Lyon,Toulouse,SCHEDULED
2027-02-26,07:00 PM ET,22,Le Mans FC,Paris FC,SCHEDULED
2027-02-28,02:45 PM ET,22,Paris SG,Racing Club de Lens,TIMED
2027-03-05,07:00 PM ET,23,Le Havre,Nice,SCHEDULED
2027-03-05,07:00 PM ET,23,Paris SG,Stade Rennais FC 1901,SCHEDULED
2027-03-05,07:00 PM ET,23,Racing Club de Lens,Strasbourg,SCHEDULED
2027-03-05,07:00 PM ET,23,Toulouse,Le Mans FC,SCHEDULED
2027-03-05,07:00 PM ET,23,ES Troyes AC,Lorient,SCHEDULED
2027-03-05,07:00 PM ET,23,Angers,Auxerre,SCHEDULED
2027-03-05,07:00 PM ET,23,Monaco,Lyon,SCHEDULED
2027-03-05,07:00 PM ET,23,Paris FC,Brest,SCHEDULED
2027-03-05,07:00 PM ET,23,Lille,Marseille,SCHEDULED
