Season,SeasonStart,#,Team,Played,W,D,L,GF,GA,GD,Pts,Form
2025-26,2025-08-01,8,Strasbourg,34,15,8,11,58,47,11,53,🟢 🔴 🟡 🟢 🟢
2025-26,2025-08-01,9,Toulouse,34,12,9,13,47,46,1,45,🔴 🟡 🟢 🟢 🟡
2025-26,2025-08-01,10,Lorient,34,11,12,11,48,51,-3,45,🟢 🔴 🟡 🟢 🔴
2025-26,2025-08-01,11,Paris FC,34,11,11,12,47,50,-3,44,🟢 🔴 🟢 🔴 🟢
2025-26,2025-08-01,12,Brest,34,10,9,15,43,55,-12,39,🟡 🔴 🔴 🔴 🟡
2025-26,2025-08-01,13,Angers,34,9,9,16,29,48,-19,36,🟡 🔴 🔴 🟡 🟡
2025-26,2025-08-01,14,Le Havre,34,7,14,13,32,44,-12,35,🟡 🟡 🟡 🔴 🟢
2025-26,2025-08-01,15,Auxerre,34,8,10,16,34,44,-10,34,🟡 🔴 🟢 🟢 🟢
2025-26,2025-08-01,16,Nice,34,7,11,16,37,60,-23,32,🟡 🟡 🟡 🔴 🟡
2025-26,2025-08-01,17,Nantes,34,5,9,20,29,52,-23,24,🔴 🔴 🟢 🔴 🟡
2025-26,2025-08-01,18,Metz,34,3,8,23,32,76,-44,17,🔴 🟡 🔴 🔴 🟡
